"","carat","cut","color","clarity","depth","table","price","x","y","z"
"2601",0.56,"Ideal","D","SI1",60.5,57,1723,5.31,5.36,3.23
"2602",0.5,"Very Good","F","SI1",63.2,58,1106,5.08,5.04,3.2
"2603",0.7,"Very Good","E","VS1",63.4,62,2695,5.64,5.56,3.55
"2604",1,"Premium","G","VS1",59.7,59,7164,6.57,6.5,3.9
"2605",0.51,"Ideal","E","VVS1",61.1,54.7,2691,5.16,5.2,3.17
"2606",1.06,"Ideal","F","VS2",61.2,57,7592,6.58,6.55,4.02
"2607",0.53,"Ideal","E","VS2",61.4,55,1707,5.19,5.24,3.2
"2608",1.24,"Premium","D","SI2",61.4,59,6965,6.91,6.87,4.23
"2609",0.4,"Ideal","F","SI1",61.6,55,703,4.72,4.76,2.92
"2610",1.03,"Ideal","H","SI2",61.1,57,4384,6.55,6.52,3.99
"2611",0.3,"Ideal","H","VS1",62.7,55,526,4.25,4.3,2.68
"2612",0.47,"Ideal","H","IF",61.9,56,1865,4.99,5.02,3.1
"2613",1.51,"Premium","E","VS1",62.7,58,16669,7.33,7.25,4.57
"2614",0.41,"Ideal","H","VVS1",60.5,55,971,4.83,4.89,2.94
"2615",1,"Good","G","VS2",63.8,59,5148,6.26,6.34,4.02
"2616",1.52,"Very Good","G","VS2",62.8,54,12359,7.26,7.36,4.59
"2617",1.71,"Good","G","SI2",63.7,57,6847,7.54,7.5,4.79
"2618",0.81,"Ideal","F","SI1",62.3,55,3481,5.96,6,3.72
"2619",0.3,"Premium","G","SI1",61.6,59,574,4.28,4.26,2.63
"2620",0.56,"Ideal","G","VVS2",61.6,56,2081,5.32,5.29,3.27
"2621",0.35,"Very Good","D","SI1",63.3,57,827,4.53,4.51,2.86
"2622",0.57,"Premium","J","VS1",62.2,58,1606,5.34,5.3,3.31
"2623",0.7,"Ideal","F","VS1",62,55,2751,5.74,5.71,3.55
"2624",0.4,"Good","I","VS2",63.8,54,666,4.68,4.72,3
"2625",0.34,"Ideal","E","VS2",62.2,55,956,4.49,4.48,2.79
"2626",0.43,"Ideal","I","VS2",62.1,57,780,4.83,4.86,3.01
"2627",0.37,"Ideal","D","VS2",61.1,56,1050,4.64,4.66,2.84
"2628",1.18,"Very Good","F","VVS2",60.1,58,11430,6.88,6.92,4.15
"2629",0.71,"Premium","G","VVS2",60.3,58,2839,5.82,5.78,3.5
"2630",1.55,"Ideal","D","VS2",62.1,59,15887,7.34,7.37,4.57
"2631",1.51,"Premium","F","VS1",60,60,16551,7.42,7.39,4.44
"2632",1.51,"Premium","E","VS2",62.2,59,14709,7.36,7.4,4.59
"2633",0.41,"Ideal","E","VS1",62.3,53,863,4.74,4.76,2.96
"2634",2.02,"Very Good","H","SI2",62.7,59,15666,8.04,7.98,5.02
"2635",2,"Fair","I","SI2",65.9,57,10833,7.96,7.79,5.19
"2636",0.52,"Ideal","E","VS2",61.4,54,1694,5.23,5.2,3.2
"2637",1.06,"Ideal","F","SI2",61.8,56,5354,6.56,6.51,4.04
"2638",0.93,"Ideal","I","SI2",62.3,57,3047,6.22,6.2,3.87
"2639",0.38,"Ideal","F","VS2",62.2,57,1026,4.63,4.6,2.87
"2640",0.3,"Very Good","D","SI2",63.2,57,574,4.24,4.21,2.67
"2641",1.13,"Ideal","I","SI1",61.4,57,4936,6.72,6.69,4.12
"2642",0.27,"Very Good","E","VS1",62.3,54,463,4.17,4.21,2.61
"2643",0.5,"Premium","E","VS2",60.6,59,1654,5.17,5.06,3.1
"2644",0.71,"Ideal","H","VS2",61.8,55,3080,5.75,5.78,3.56
"2645",0.95,"Premium","G","SI2",59.5,56,3724,6.41,6.36,3.8
"2646",0.32,"Ideal","F","IF",60.7,56,990,4.43,4.46,2.7
"2647",0.3,"Very Good","F","SI2",62.2,58,394,4.22,4.33,2.66
"2648",0.9,"Fair","F","SI2",65.7,63,3062,6.01,5.96,3.93
"2649",1.01,"Premium","H","SI1",61.9,57,4949,6.49,6.4,3.99
"2650",2.03,"Premium","H","VS2",62.6,59,18139,8.1,8.06,5.06
"2651",2.28,"Premium","H","SI2",62.1,59,17892,8.4,8.44,5.23
"2652",0.39,"Ideal","F","SI1",61.8,57,697,4.68,4.73,2.91
"2653",1,"Good","F","SI2",59.4,64,3858,6.36,6.29,3.76
"2654",1.03,"Ideal","H","SI1",59.7,55,4585,6.6,6.64,3.95
"2655",0.51,"Ideal","H","VVS2",60.1,57,1611,5.19,5.22,3.12
"2656",0.35,"Premium","E","SI1",62.9,58,788,4.52,4.48,2.83
"2657",0.39,"Ideal","J","SI1",61,56,568,4.71,4.73,2.88
"2658",0.47,"Ideal","D","VVS1",62,54,2460,4.99,5.01,3.1
"2659",1.09,"Premium","G","SI2",59,58,4456,6.78,6.72,3.98
"2660",0.4,"Very Good","D","VVS2",61.4,58.3,1359,4.73,4.74,2.9
"2661",0.56,"Premium","I","VVS1",60.6,59,1743,5.33,5.29,3.22
"2662",1.01,"Good","I","SI1",61.7,58,4171,6.33,6.4,3.93
"2663",0.97,"Premium","H","SI1",58,62,3911,6.56,6.48,3.79
"2664",0.71,"Ideal","F","VVS2",61.6,56,4497,5.73,5.75,3.53
"2665",0.52,"Ideal","F","IF",60.3,57,2504,5.23,5.28,3.17
"2666",1.74,"Very Good","F","VS2",62,57,18430,7.65,7.7,4.76
"2667",1.11,"Premium","H","SI1",61.5,59,5315,6.69,6.64,4.1
"2668",0.71,"Very Good","H","VS1",63.7,57,2590,5.63,5.67,3.6
"2669",0.41,"Very Good","F","SI1",63.4,58,852,4.75,4.68,2.99
"2670",0.82,"Ideal","D","SI1",61.9,56,4113,5.99,6.02,3.72
"2671",1.07,"Ideal","H","SI1",62.1,57,5220,6.5,6.55,4.05
"2672",0.9,"Ideal","G","SI1",61.9,59,4008,6.16,6.19,3.82
"2673",0.3,"Premium","D","SI2",62.9,58,574,4.29,4.26,2.69
"2674",0.71,"Very Good","I","VVS1",63,58,2549,5.66,5.68,3.57
"2675",0.32,"Very Good","D","VVS2",60.1,58,791,4.41,4.44,2.66
"2676",1.01,"Ideal","F","IF",62,58,10688,6.41,6.46,3.99
"2677",1.02,"Ideal","I","SI2",60.7,57,3786,6.54,6.57,3.98
"2678",0.9,"Very Good","D","VS1",60.3,58,5331,6.23,6.28,3.77
"2679",0.43,"Ideal","F","SI1",62.5,56,760,4.82,4.84,3.02
"2680",0.32,"Ideal","E","VVS2",61.6,55,790,4.42,4.45,2.73
"2681",0.33,"Very Good","E","VS2",62.8,56,627,4.4,4.42,2.77
"2682",0.73,"Very Good","D","VS1",62.2,56,3856,5.72,5.75,3.57
"2683",0.61,"Ideal","G","VS1",61.6,55,2166,5.45,5.49,3.37
"2684",1.54,"Very Good","G","VS2",63,59,11708,7.3,7.36,4.62
"2685",1.51,"Fair","F","I1",67.5,56,3734,7.17,7.05,4.8
"2686",1.06,"Very Good","G","VS1",60.5,56,6707,6.65,6.6,4.01
"2687",0.9,"Good","F","VS1",63.8,56,3750,5.99,5.92,3.8
"2688",0.41,"Premium","E","VS1",61.9,59,1153,4.8,4.77,2.96
"2689",1.05,"Ideal","I","VVS2",61.8,54,5352,6.55,6.57,4.05
"2690",1,"Ideal","H","SI2",59.4,55,4295,6.59,6.65,3.93
"2691",0.25,"Ideal","G","VVS2",61.9,55,525,4.07,4.1,2.53
"2692",1.01,"Premium","H","VS2",61.2,59,4959,6.45,6.47,3.95
"2693",1.63,"Premium","G","SI2",62.5,57,9730,7.57,7.54,4.72
"2694",0.38,"Ideal","J","VS2",61.4,57,617,4.65,4.68,2.87
"2695",1.71,"Ideal","J","SI1",62.8,57,6320,7.58,7.55,4.75
"2696",0.51,"Premium","J","SI1",62.6,59,1020,5.1,5.06,3.18
"2697",0.36,"Very Good","E","VS2",59.9,55,631,4.66,4.69,2.8
"2698",0.36,"Ideal","H","IF",60.6,56,980,4.64,4.66,2.82
"2699",0.25,"Very Good","F","VVS2",61.8,58,575,4.05,4.07,2.51
"2700",0.38,"Ideal","D","VVS1",60.7,57,1270,4.69,4.74,2.86
"2701",0.3,"Ideal","F","SI1",62.4,56,475,4.27,4.32,2.68
"2702",1.51,"Good","I","SI1",63.7,61,8097,7.11,7.15,4.54
"2703",1.21,"Ideal","H","SI2",62.1,55,5692,6.87,6.82,4.25
"2704",0.7,"Ideal","F","VS1",61.7,55,3154,5.72,5.76,3.54
"2705",0.3,"Ideal","E","VVS1",60.5,57,895,4.34,4.39,2.64
"2706",1.61,"Ideal","E","SI2",61.3,59,11220,7.47,7.57,4.61
"2707",1.02,"Very Good","G","VVS2",61.3,59,7292,6.46,6.53,3.98
"2708",1.07,"Ideal","E","SI2",62.4,57,4613,6.52,6.55,4.08
"2709",0.71,"Good","F","SI1",57.9,53,2300,5.84,5.8,3.37
"2710",0.4,"Very Good","E","VS2",64,52,925,4.66,4.69,2.99
"2711",0.7,"Premium","H","VS2",60.8,59,2330,5.71,5.74,3.48
"2712",1.01,"Premium","E","SI2",62.6,57,4751,6.35,6.33,3.97
"2713",1,"Very Good","G","IF",62.2,61,7682,6.38,6.41,3.98
"2714",0.41,"Ideal","F","IF",61.4,56,1439,4.77,4.81,2.94
"2715",0.42,"Ideal","E","VS2",62.2,55,958,4.79,4.83,2.99
"2716",1.55,"Premium","H","VS2",62.7,57,10827,7.42,7.36,4.63
"2717",1.06,"Ideal","E","VS2",61.9,55,7275,6.54,6.58,4.06
"2718",1.08,"Ideal","G","SI2",62.1,57,4733,6.56,6.58,4.08
"2719",0.71,"Good","I","VS1",59.1,63.4,2239,5.76,5.81,3.42
"2720",0.32,"Premium","G","VS2",62,58,561,4.33,4.38,2.7
"2721",0.91,"Ideal","F","SI2",62.7,57,3642,6.16,6.21,3.88
"2722",1.01,"Premium","D","SI2",61.8,57,4338,6.47,6.42,3.98
"2723",2.28,"Good","J","SI1",63.7,55,14220,8.28,8.35,5.3
"2724",0.42,"Very Good","E","VVS2",59.4,60,1262,4.88,4.91,2.91
"2725",1.4,"Premium","H","SI1",62.1,60,8133,7.21,7.12,4.45
"2726",1.04,"Premium","G","VVS2",61.8,58,8098,6.51,6.47,4.01
"2727",0.26,"Premium","E","VVS2",61.7,61,724,4.12,4.08,2.53
"2728",0.7,"Very Good","H","VS1",62.3,57,2540,5.68,5.72,3.55
"2729",1.37,"Ideal","I","SI2",62.2,56,6401,7.07,7.14,4.42
"2730",0.3,"Premium","G","VVS1",60.7,58,789,4.34,4.36,2.64
"2731",0.7,"Ideal","F","VVS1",62.4,55,4341,5.65,5.69,3.54
"2732",0.7,"Premium","D","VS1",60.4,58,2956,5.78,5.71,3.47
"2733",0.4,"Ideal","H","SI1",61.3,57,705,4.77,4.79,2.93
"2734",0.91,"Premium","G","VS1",62.2,58,4459,6.22,6.12,3.85
"2735",0.32,"Premium","G","VS2",61,59,561,4.42,4.46,2.71
"2736",1.13,"Premium","H","SI2",59.4,58,4430,6.8,6.74,4.02
"2737",0.7,"Ideal","J","SI1",62.6,56,1937,5.66,5.68,3.55
"2738",0.41,"Ideal","D","VS1",61.8,57,1151,4.75,4.8,2.95
"2739",1.04,"Very Good","H","SI1",63.2,57,4310,6.45,6.4,4.06
"2740",0.42,"Very Good","G","SI1",63.2,57,945,4.79,4.77,3.02
"2741",0.4,"Good","J","VS1",63.4,58,631,4.61,4.64,2.93
"2742",0.3,"Ideal","D","VS1",62.2,56,835,4.31,4.27,2.67
"2743",0.85,"Premium","F","VVS2",61.2,60,4451,6.13,6.1,3.74
"2744",0.3,"Ideal","F","VVS2",61.5,58,694,4.3,4.35,2.66
"2745",0.73,"Ideal","G","VS1",60.7,57,3411,5.85,5.81,3.54
"2746",1.2,"Good","G","SI2",63.6,54,5049,6.71,6.75,4.28
"2747",0.41,"Ideal","D","SI2",61,56,683,4.78,4.83,2.93
"2748",1,"Premium","F","SI2",60.2,62,3858,6.53,6.45,3.91
"2749",0.51,"Very Good","G","VVS2",62.9,57,1750,5.06,5.12,3.2
"2750",0.71,"Ideal","F","VS2",61.2,56,2917,5.77,5.73,3.52
"2751",0.32,"Very Good","F","VS1",62.3,55,696,4.38,4.42,2.74
"2752",0.53,"Very Good","G","VS1",60.2,55,1722,5.25,5.28,3.17
"2753",1.01,"Premium","E","IF",62.6,58,11491,6.44,6.37,4.01
"2754",0.3,"Premium","H","VS2",61.8,60,608,4.31,4.26,2.65
"2755",1.1,"Ideal","I","VS1",61.7,57,5544,6.65,6.62,4.09
"2756",0.5,"Very Good","G","SI1",62.4,52,1153,5.1,5.15,3.2
"2757",0.72,"Very Good","F","SI1",63.1,55,2333,5.75,5.7,3.61
"2758",0.37,"Ideal","I","VVS1",60.6,57,768,4.63,4.66,2.81
"2759",0.7,"Ideal","F","VVS1",61.7,56,4951,5.68,5.73,3.52
"2760",0.23,"Ideal","E","VS1",61.9,55,586,3.94,3.98,2.45
"2761",0.38,"Very Good","D","VS2",58.8,61,871,4.71,4.74,2.78
"2762",0.31,"Very Good","E","SI1",63.1,55,698,4.36,4.33,2.74
"2763",0.41,"Premium","G","VS2",61.8,59,827,4.72,4.76,2.93
"2764",1.16,"Ideal","G","SI2",61.7,56,4710,6.82,6.76,4.18
"2765",0.32,"Ideal","D","SI1",62.6,55,589,4.36,4.39,2.74
"2766",0.23,"Very Good","E","VVS1",61.1,60,530,3.95,4.01,2.43
"2767",0.38,"Premium","I","SI1",60.5,58,581,4.67,4.72,2.84
"2768",0.4,"Premium","G","VS1",60.7,58,1125,4.81,4.78,2.91
"2769",0.96,"Premium","E","SI1",60,60,4864,6.44,6.39,3.85
"2770",0.78,"Very Good","I","SI2",60.6,58,2271,5.92,5.97,3.6
"2771",0.71,"Ideal","G","SI1",61.2,58,2400,5.77,5.79,3.54
"2772",1,"Very Good","E","SI2",59.6,59,4321,6.48,6.51,3.87
"2773",2,"Premium","G","SI1",59.3,60,14918,8.19,8.13,4.84
"2774",0.7,"Good","E","SI1",64.4,58,2000,5.48,5.52,3.54
"2775",1.5,"Premium","H","VS2",61.2,61,10478,7.32,7.25,4.46
"2776",1.02,"Ideal","G","VS2",61.9,53,6169,6.5,6.48,4.02
"2777",0.56,"Very Good","E","VS2",61.8,56,1819,5.28,5.31,3.27
"2778",1.03,"Very Good","H","VS2",59.9,59,5620,6.5,6.52,3.9
"2779",0.34,"Very Good","F","VS2",62.9,58,686,4.44,4.46,2.8
"2780",1.62,"Ideal","G","VS2",61.7,56,14777,7.53,7.57,4.66
"2781",0.82,"Ideal","H","VS2",59.5,57,2870,6.12,6.09,3.63
"2782",1.17,"Premium","F","SI2",59.6,60,4324,6.88,6.85,4.09
"2783",1.06,"Very Good","D","VS2",62.8,55,7345,6.53,6.56,4.11
"2784",0.74,"Very Good","J","VS1",62.7,58,2170,5.75,5.8,3.62
"2785",0.72,"Very Good","D","VS2",62.1,59,3016,5.7,5.73,3.55
"2786",0.38,"Premium","I","VS2",61.5,58,812,4.62,4.61,2.84
"2787",0.38,"Premium","E","VS2",60.5,58,1112,4.7,4.66,2.83
"2788",1.01,"Ideal","F","VS1",63.2,56,7209,6.35,6.41,4.03
"2789",2.29,"Premium","I","SI1",61.8,59,18797,8.52,8.45,5.24
"2790",1.1,"Ideal","F","I1",61.8,56,3678,6.61,6.65,4.1
"2791",1.51,"Very Good","G","VS2",62.1,57,11532,7.37,7.32,4.5
"2792",1.03,"Ideal","E","SI2",62.3,56,4845,6.52,6.44,4.04
"2793",0.5,"Ideal","H","VVS2",60.4,55,1608,5.16,5.2,3.13
"2794",0.74,"Premium","F","VS2",61.7,58,2805,5.85,5.78,3.59
"2795",0.51,"Ideal","F","SI1",61.1,57,1580,5.14,5.17,3.15
"2796",1.2,"Ideal","E","SI2",62.5,55,5964,6.77,6.84,4.25
"2797",0.57,"Ideal","E","VVS1",62.3,53.5,2632,5.29,5.33,3.31
"2798",0.41,"Ideal","H","VVS2",62,56,899,4.74,4.78,2.95
"2799",1.52,"Premium","E","SI2",60.8,60,9028,7.36,7.42,4.49
"2800",0.8,"Good","G","SI2",62.8,58,2363,5.86,5.9,3.69
"2801",1.03,"Very Good","G","VS2",62.2,57,6786,6.43,6.46,4.01
"2802",1.05,"Premium","H","VS2",62.3,57,5166,6.49,6.45,4.03
"2803",2.01,"Very Good","H","SI1",63.5,57,14725,7.96,7.88,5.03
"2804",0.72,"Premium","E","VS2",62.5,59,3024,5.73,5.7,3.57
"2805",2.1,"Fair","G","I1",67.4,59,6597,7.82,7.76,5.24
"2806",0.66,"Ideal","E","SI2",62.4,56,1584,5.61,5.55,3.48
"2807",0.51,"Ideal","G","VVS2",61.3,56,1902,5.16,5.19,3.17
"2808",0.68,"Fair","G","SI1",58,71,1633,5.85,5.7,3.35
"2809",1.04,"Ideal","G","SI2",62.4,54,5044,6.49,6.53,4.06
"2810",0.38,"Very Good","D","VS2",63.4,55,1117,4.67,4.63,2.95
"2811",1.5,"Premium","J","VVS2",61.8,60,8603,7.33,7.36,4.54
"2812",0.41,"Very Good","D","SI1",63,56,717,4.75,4.8,3.01
"2813",1.21,"Ideal","D","VS2",60.9,60,10353,6.91,6.86,4.19
"2814",0.33,"Premium","G","VVS1",62.1,58,868,4.4,4.43,2.74
"2815",0.34,"Premium","I","SI1",60,58,589,4.55,4.51,2.72
"2816",1.01,"Premium","E","SI2",60.4,60,4878,6.49,6.46,3.91
"2817",0.71,"Ideal","G","SI2",61.5,55,2264,5.74,5.78,3.54
"2818",0.51,"Very Good","G","VS2",62.7,57,1438,5.05,5.12,3.19
"2819",1.21,"Ideal","F","SI1",61.1,55,6659,6.87,6.85,4.19
"2820",0.5,"Ideal","G","VVS2",62.7,54,1784,5.05,5.09,3.18
"2821",2.02,"Fair","J","VS1",64.6,59,13399,7.95,7.9,5.12
"2822",0.72,"Very Good","F","SI1",63.4,58,2670,5.69,5.66,3.6
"2823",0.75,"Very Good","G","SI1",62.3,55,2617,5.81,5.85,3.63
"2824",1.46,"Ideal","E","SI2",62.3,55,8421,7.29,7.25,4.53
"2825",2.01,"Fair","H","SI2",65.9,57,12617,7.8,7.74,5.12
"2826",0.5,"Very Good","G","VVS2",62.8,57,1764,5.05,5.07,3.18
"2827",1.58,"Ideal","G","SI1",62.2,55,11927,7.44,7.5,4.65
"2828",0.34,"Ideal","D","VVS1",61.7,56,1211,4.48,4.46,2.76
"2829",0.33,"Ideal","D","SI2",62.9,56,631,4.43,4.41,2.78
"2830",0.41,"Premium","F","SI2",60.3,58,907,4.86,4.82,2.92
"2831",1.09,"Ideal","I","SI1",61.9,55,5486,6.66,6.62,4.11
"2832",0.79,"Ideal","E","VS2",62.2,55,3861,5.97,5.9,3.69
"2833",2,"Good","H","SI2",63.6,57,13480,8.01,7.97,5.08
"2834",0.92,"Premium","F","I1",60.7,58,2607,6.29,6.26,3.81
"2835",1.01,"Ideal","D","SI1",61.2,57,5443,6.44,6.47,3.95
"2836",0.7,"Fair","D","SI2",65.6,55,2167,5.59,5.5,3.64
"2837",0.41,"Ideal","D","SI1",61.4,56,791,4.77,4.8,2.94
"2838",1.2,"Very Good","E","VVS2",63.2,56,11456,6.73,6.78,4.27
"2839",0.4,"Very Good","F","SI1",62.9,57,737,4.68,4.7,2.95
"2840",1.07,"Premium","H","SI2",61.2,60,4494,6.57,6.53,4.01
"2841",0.82,"Premium","E","SI2",61.7,59,2861,6.01,5.98,3.7
"2842",0.42,"Premium","G","SI1",62.7,59,920,4.75,4.72,2.97
"2843",1.54,"Ideal","J","VS2",61.9,57,8275,7.39,7.5,4.6
"2844",1.02,"Premium","G","I1",61.3,57,2387,6.47,6.35,3.93
"2845",0.71,"Very Good","H","VS2",61.8,58,2368,5.66,5.7,3.51
"2846",0.51,"Ideal","E","SI1",61.3,55,1438,5.11,5.17,3.15
"2847",0.64,"Premium","F","SI1",61.2,58,1816,5.6,5.54,3.41
"2848",0.53,"Ideal","G","VS1",62.6,54,1813,5.19,5.16,3.24
"2849",0.32,"Ideal","G","VVS1",61.4,57,796,4.4,4.44,2.71
"2850",0.74,"Very Good","F","SI2",63.1,55,2261,5.77,5.74,3.63
"2851",2,"Very Good","H","SI2",59.7,61,15312,8.15,8.2,4.88
"2852",0.3,"Good","J","VS1",63.6,52,506,4.29,4.27,2.72
"2853",1.31,"Ideal","G","VS1",61.9,56,10099,7.03,7.13,4.38
"2854",1,"Ideal","E","VS2",62.1,57,7569,6.38,6.41,3.97
"2855",1.37,"Premium","J","SI2",61.9,59,5284,7.1,7.05,4.38
"2856",1.01,"Very Good","F","SI2",63.3,57,4299,6.39,6.37,4.04
"2857",0.3,"Ideal","F","IF",61.3,56,886,4.33,4.35,2.66
"2858",0.35,"Premium","E","SI1",59.7,60,788,4.58,4.53,2.72
"2859",0.68,"Premium","E","SI1",62,59,2224,5.67,5.65,3.51
"2860",1.7,"Premium","I","SI1",62,59,10331,7.59,7.64,4.72
"2861",0.38,"Very Good","F","VS1",60.2,58,871,4.71,4.73,2.84
"2862",0.59,"Good","I","VS2",63.4,56,1294,5.33,5.37,3.39
"2863",0.9,"Premium","H","VS2",61.7,59,4266,6.13,6.19,3.8
"2864",0.37,"Ideal","D","VS2",62.3,55,763,4.59,4.62,2.87
"2865",0.31,"Ideal","G","VS2",61.7,57,544,4.33,4.36,2.68
"2866",0.7,"Ideal","D","SI1",62,54,2726,5.73,5.76,3.56
"2867",1.01,"Good","F","SI1",63.6,58,4899,6.31,6.37,4.03
"2868",1,"Very Good","G","VS2",62.8,57,5227,6.33,6.37,3.99
"2869",0.26,"Very Good","D","VVS2",59.1,59,597,4.21,4.28,2.51
"2870",0.9,"Good","I","SI1",63.5,59,3176,6.05,6.1,3.86
"2871",0.4,"Very Good","E","VS2",60.4,63,791,4.68,4.72,2.84
"2872",0.31,"Ideal","G","SI1",61.6,55,563,4.34,4.37,2.68
"2873",0.91,"Ideal","G","SI1",62.5,56,4673,6.19,6.22,3.88
"2874",0.7,"Ideal","H","SI2",59.9,57,2142,5.77,5.74,3.45
"2875",1.58,"Ideal","F","VS2",60,57,14044,7.58,7.52,4.53
"2876",1.01,"Ideal","G","VS1",62.4,56,6794,6.44,6.39,4
"2877",0.55,"Ideal","E","VS2",62,55,1816,5.26,5.28,3.27
"2878",0.92,"Premium","E","VS2",61.2,62,4600,6.27,6.22,3.82
"2879",0.87,"Ideal","D","SI1",62.6,56,4108,6.17,6.08,3.84
"2880",0.7,"Very Good","F","VS1",62.1,57,2975,5.69,5.72,3.54
"2881",1.7,"Premium","G","SI2",62.2,59,7414,7.68,7.6,4.75
"2882",0.31,"Ideal","G","VS1",61,55,802,4.43,4.39,2.69
"2883",0.72,"Ideal","G","VVS2",61.3,56,3352,5.76,5.8,3.54
"2884",0.23,"Very Good","E","VVS2",61.4,60,505,3.93,3.98,2.43
"2885",0.32,"Ideal","E","VVS2",61.3,55,1010,4.41,4.43,2.71
"2886",0.31,"Ideal","H","VS1",61.7,57,544,4.34,4.38,2.69
"2887",1.01,"Ideal","E","VVS1",62,57,11154,6.45,6.39,3.98
"2888",0.3,"Ideal","F","IF",62.4,58,886,4.25,4.28,2.66
"2889",0.61,"Good","F","VS1",61.9,60,2076,5.39,5.41,3.34
"2890",0.4,"Ideal","E","VS1",62.3,56,1053,4.71,4.73,2.94
"2891",0.32,"Ideal","D","VS2",61.7,54,972,4.43,4.38,2.72
"2892",0.63,"Premium","E","VVS2",62.1,57,2789,5.48,5.41,3.38
"2893",2,"Fair","J","SI1",66.4,55,11189,7.82,7.67,5.15
"2894",0.72,"Fair","G","I1",65.1,57,1147,5.65,5.55,3.65
"2895",1,"Premium","G","SI1",63,59,4956,6.44,6.32,4.02
"2896",0.76,"Ideal","H","SI2",63,56,2288,5.81,5.84,3.67
"2897",0.41,"Ideal","E","VVS2",61.6,55,1363,4.81,4.84,2.97
"2898",0.31,"Good","G","VS1",63.7,56,625,4.27,4.3,2.73
"2899",0.4,"Very Good","J","VS2",62.9,57,596,4.7,4.75,2.97
"2900",1.51,"Very Good","F","SI2",63.2,60,8462,7.2,7.27,4.57
"2901",0.3,"Ideal","H","SI1",60.7,56,465,4.35,4.37,2.65
"2902",1.02,"Premium","H","VS2",60.4,59,5008,6.52,6.55,3.95
"2903",1.7,"Ideal","F","VS2",61.3,54,17662,7.72,7.67,4.72
"2904",0.71,"Fair","D","SI1",64.6,60,2151,5.55,5.6,3.6
"2905",0.82,"Fair","G","SI1",66.4,54,2339,5.87,5.82,3.88
"2906",0.38,"Ideal","E","VS2",61.5,55,813,4.67,4.7,2.88
"2907",1.04,"Very Good","I","SI1",61.9,58,4426,6.45,6.47,4
"2908",0.72,"Very Good","F","VVS1",62.1,55,3762,5.72,5.78,3.57
"2909",1,"Good","F","SI1",63.6,58,4851,6.27,6.31,4
"2910",0.66,"Very Good","G","IF",60.5,59,3051,5.69,5.74,3.46
"2911",1.5,"Very Good","E","SI2",62.1,59,9548,7.26,7.33,4.53
"2912",2.03,"Premium","J","SI2",62.7,59,12268,8.02,8.08,5.05
"2913",0.3,"Ideal","H","SI1",62,56,450,4.29,4.32,2.67
"2914",0.7,"Ideal","I","VS2",62.2,55,2268,5.73,5.69,3.55
"2915",2.22,"Fair","J","I1",66.7,56,5607,8.04,8.02,5.36
"2916",2.37,"Ideal","J","VS2",62.2,57,16059,8.52,8.58,5.32
"2917",0.25,"Good","D","VVS2",57.5,61,548,4.16,4.19,2.4
"2918",0.52,"Very Good","D","VS2",62.8,58,1749,5.11,5.14,3.22
"2919",1.5,"Very Good","D","SI2",58.7,57,9009,7.42,7.48,4.37
"2920",1,"Premium","I","VS2",62.7,62,3918,6.32,6.27,3.95
"2921",0.42,"Ideal","I","SI1",62.3,54,654,4.82,4.84,3.01
"2922",1.12,"Very Good","I","SI1",60.6,60,4312,6.73,6.77,4.09
"2923",0.44,"Very Good","H","VVS1",61,59,986,4.87,4.9,2.98
"2924",0.33,"Premium","G","VS1",62.2,58,666,4.39,4.42,2.74
"2925",0.38,"Ideal","E","VVS1",62.6,56,1327,4.64,4.6,2.89
"2926",1.01,"Premium","F","SI2",62.2,57,4796,6.43,6.36,3.98
"2927",0.35,"Premium","E","SI1",60.8,60,614,4.51,4.57,2.76
"2928",0.23,"Very Good","E","VVS1",61.2,57,478,3.96,3.98,2.43
"2929",1.28,"Ideal","J","SI1",61.2,57,4967,7.02,6.96,4.28
"2930",1.5,"Very Good","H","VS2",62.8,57,10959,7.25,7.3,4.57
"2931",0.7,"Good","E","SI1",63.6,62,2386,5.57,5.6,3.55
"2932",0.72,"Ideal","G","SI2",61.9,57,2068,5.73,5.77,3.56
"2933",0.37,"Very Good","F","IF",60.4,57,995,4.65,4.68,2.81
"2934",0.72,"Very Good","H","VS2",61.4,57,2462,5.75,5.79,3.54
"2935",0.33,"Ideal","D","VS2",61.8,54,681,4.43,4.47,2.75
"2936",2.13,"Premium","H","SI2",62.3,57,17073,8.24,8.16,5.11
"2937",0.74,"Ideal","F","SI1",61,57,2851,5.85,5.81,3.56
"2938",1.09,"Premium","H","SI1",61.8,58,4871,6.63,6.58,4.08
"2939",0.7,"Very Good","J","VS2",61.1,61,1952,5.64,5.69,3.46
"2940",0.55,"Ideal","G","VVS2",61.9,56,2129,5.27,5.23,3.25
"2941",1.22,"Premium","I","SI1",62.1,58,5671,6.89,6.8,4.25
"2942",0.56,"Fair","E","SI2",64.5,61,1389,5.18,5.14,3.33
"2943",1,"Good","D","SI2",64.3,60,3965,6.22,6.19,3.99
"2944",1.77,"Premium","J","VS2",59.6,58,9428,7.94,7.86,4.71
"2945",0.56,"Premium","F","SI1",62.7,59,2016,5.27,5.22,3.29
"2946",1.2,"Very Good","G","SI1",62.9,57,5918,6.73,6.79,4.25
"2947",0.68,"Premium","G","VS1",58.6,59,2326,5.8,5.77,3.39
"2948",0.73,"Good","E","SI1",63.6,57,2821,5.72,5.7,3.63
